QueryId System Rank Precision Recall
2 TfIdf_Stopping 44 0.06 1
2 TfIdf_Stopping 45 0.06 1
2 TfIdf_Stopping 46 0.06 1
2 TfIdf_Stopping 47 0.06 1
2 TfIdf_Stopping 48 0.06 1
2 TfIdf_Stopping 49 0.06 1
2 TfIdf_Stopping 50 0.06 1
2 TfIdf_Stopping 51 0.05 1
2 TfIdf_Stopping 52 0.05 1
2 TfIdf_Stopping 53 0.05 1
2 TfIdf_Stopping 54 0.05 1
2 TfIdf_Stopping 55 0.05 1
2 TfIdf_Stopping 56 0.05 1
2 TfIdf_Stopping 57 0.05 1
2 TfIdf_Stopping 58 0.05 1
2 TfIdf_Stopping 59 0.05 1
2 TfIdf_Stopping 60 0.05 1
2 TfIdf_Stopping 61 0.04 1
2 TfIdf_Stopping 62 0.04 1
2 TfIdf_Stopping 63 0.04 1
2 TfIdf_Stopping 64 0.04 1
2 TfIdf_Stopping 65 0.04 1
2 TfIdf_Stopping 66 0.04 1
2 TfIdf_Stopping 67 0.04 1
2 TfIdf_Stopping 68 0.04 1
2 TfIdf_Stopping 69 0.04 1
2 TfIdf_Stopping 70 0.04 1
2 TfIdf_Stopping 71 0.04 1
2 TfIdf_Stopping 72 0.04 1
2 TfIdf_Stopping 73 0.04 1
2 TfIdf_Stopping 74 0.04 1
2 TfIdf_Stopping 75 0.04 1
2 TfIdf_Stopping 76 0.03 1
2 TfIdf_Stopping 77 0.03 1
2 TfIdf_Stopping 78 0.03 1
2 TfIdf_Stopping 79 0.03 1
2 TfIdf_Stopping 80 0.03 1
2 TfIdf_Stopping 81 0.03 1
2 TfIdf_Stopping 82 0.03 1
2 TfIdf_Stopping 83 0.03 1
2 TfIdf_Stopping 84 0.03 1
2 TfIdf_Stopping 85 0.03 1
2 TfIdf_Stopping 86 0.03 1
2 TfIdf_Stopping 87 0.03 1
2 TfIdf_Stopping 88 0.03 1
2 TfIdf_Stopping 89 0.03 1
2 TfIdf_Stopping 90 0.03 1
3 TfIdf_Stopping 1 0 0
3 TfIdf_Stopping 2 0 0
3 TfIdf_Stopping 3 0 0
3 TfIdf_Stopping 4 0 0
3 TfIdf_Stopping 5 0 0
3 TfIdf_Stopping 6 0 0
3 TfIdf_Stopping 7 0 0
3 TfIdf_Stopping 8 0 0
3 TfIdf_Stopping 9 0 0
3 TfIdf_Stopping 10 0 0
3 TfIdf_Stopping 11 0 0
3 TfIdf_Stopping 12 0 0
3 TfIdf_Stopping 13 0 0
3 TfIdf_Stopping 14 0 0
3 TfIdf_Stopping 15 0 0
3 TfIdf_Stopping 16 0 0
3 TfIdf_Stopping 17 0 0
3 TfIdf_Stopping 18 0 0
3 TfIdf_Stopping 19 0 0
3 TfIdf_Stopping 20 0 0
3 TfIdf_Stopping 21 0.04 0.16
3 TfIdf_Stopping 22 0.04 0.16
3 TfIdf_Stopping 23 0.04 0.16
3 TfIdf_Stopping 24 0.04 0.16
3 TfIdf_Stopping 25 0.04 0.16
3 TfIdf_Stopping 26 0.03 0.16
3 TfIdf_Stopping 27 0.03 0.16
3 TfIdf_Stopping 28 0.03 0.16
3 TfIdf_Stopping 29 0.03 0.16
3 TfIdf_Stopping 30 0.03 0.16
3 TfIdf_Stopping 31 0.03 0.16
3 TfIdf_Stopping 32 0.03 0.16
3 TfIdf_Stopping 33 0.03 0.16
3 TfIdf_Stopping 34 0.02 0.16
3 TfIdf_Stopping 35 0.02 0.16
3 TfIdf_Stopping 36 0.02 0.16
3 TfIdf_Stopping 37 0.02 0.16
3 TfIdf_Stopping 38 0.02 0.16
3 TfIdf_Stopping 39 0.02 0.16
3 TfIdf_Stopping 40 0.02 0.16
3 TfIdf_Stopping 41 0.02 0.16
3 TfIdf_Stopping 42 0.02 0.16
3 TfIdf_Stopping 43 0.02 0.16
3 TfIdf_Stopping 44 0.04 0.33
3 TfIdf_Stopping 45 0.04 0.33
3 TfIdf_Stopping 46 0.04 0.33
3 TfIdf_Stopping 47 0.04 0.33
3 TfIdf_Stopping 48 0.04 0.33
3 TfIdf_Stopping 49 0.04 0.33
3 TfIdf_Stopping 50 0.04 0.33
3 TfIdf_Stopping 51 0.03 0.33
3 TfIdf_Stopping 52 0.03 0.33
3 TfIdf_Stopping 53 0.03 0.33
3 TfIdf_Stopping 54 0.03 0.33
3 TfIdf_Stopping 55 0.03 0.33
3 TfIdf_Stopping 56 0.03 0.33
3 TfIdf_Stopping 57 0.03 0.33
3 TfIdf_Stopping 58 0.03 0.33
3 TfIdf_Stopping 59 0.03 0.33
3 TfIdf_Stopping 60 0.03 0.33
3 TfIdf_Stopping 61 0.03 0.33
3 TfIdf_Stopping 62 0.03 0.33
3 TfIdf_Stopping 63 0.03 0.33
3 TfIdf_Stopping 64 0.03 0.33
3 TfIdf_Stopping 65 0.03 0.33
3 TfIdf_Stopping 66 0.03 0.33
3 TfIdf_Stopping 67 0.02 0.33
3 TfIdf_Stopping 68 0.02 0.33
3 TfIdf_Stopping 69 0.02 0.33
3 TfIdf_Stopping 70 0.02 0.33
3 TfIdf_Stopping 71 0.02 0.33
3 TfIdf_Stopping 72 0.02 0.33
3 TfIdf_Stopping 73 0.02 0.33
3 TfIdf_Stopping 74 0.02 0.33
3 TfIdf_Stopping 75 0.02 0.33
3 TfIdf_Stopping 76 0.02 0.33
3 TfIdf_Stopping 77 0.02 0.33
3 TfIdf_Stopping 78 0.02 0.33
3 TfIdf_Stopping 79 0.02 0.33
3 TfIdf_Stopping 80 0.02 0.33
3 TfIdf_Stopping 81 0.02 0.33
3 TfIdf_Stopping 82 0.02 0.33
3 TfIdf_Stopping 83 0.02 0.33
3 TfIdf_Stopping 84 0.02 0.33
3 TfIdf_Stopping 85 0.02 0.33
3 TfIdf_Stopping 86 0.02 0.33
3 TfIdf_Stopping 87 0.02 0.33
3 TfIdf_Stopping 88 0.02 0.33
3 TfIdf_Stopping 89 0.02 0.33
3 TfIdf_Stopping 90 0.02 0.33
3 TfIdf_Stopping 91 0.02 0.33
3 TfIdf_Stopping 92 0.02 0.33
3 TfIdf_Stopping 93 0.02 0.33
3 TfIdf_Stopping 94 0.02 0.33
3 TfIdf_Stopping 95 0.02 0.33
3 TfIdf_Stopping 96 0.02 0.33
3 TfIdf_Stopping 97 0.02 0.33
3 TfIdf_Stopping 98 0.02 0.33
3 TfIdf_Stopping 99 0.02 0.33
3 TfIdf_Stopping 100 0.02 0.33
3 TfIdf_Stopping 101 0.01 0.33
4 TfIdf_Stopping 1 1 0.08
4 TfIdf_Stopping 2 0.5 0.08
4 TfIdf_Stopping 3 0.33 0.08
4 TfIdf_Stopping 4 0.25 0.08
4 TfIdf_Stopping 5 0.4 0.16
4 TfIdf_Stopping 6 0.33 0.16
4 TfIdf_Stopping 7 0.28 0.16
4 TfIdf_Stopping 8 0.25 0.16
4 TfIdf_Stopping 9 0.22 0.16
4 TfIdf_Stopping 10 0.2 0.16
4 TfIdf_Stopping 11 0.18 0.16
4 TfIdf_Stopping 12 0.16 0.16
4 TfIdf_Stopping 13 0.15 0.16
4 TfIdf_Stopping 14 0.14 0.16
4 TfIdf_Stopping 15 0.13 0.16
4 TfIdf_Stopping 16 0.12 0.16
4 TfIdf_Stopping 17 0.11 0.16
4 TfIdf_Stopping 18 0.11 0.16
4 TfIdf_Stopping 19 0.1 0.16
4 TfIdf_Stopping 20 0.1 0.16
4 TfIdf_Stopping 21 0.09 0.16
4 TfIdf_Stopping 22 0.09 0.16
4 TfIdf_Stopping 23 0.08 0.16
4 TfIdf_Stopping 24 0.08 0.16
4 TfIdf_Stopping 25 0.08 0.16
4 TfIdf_Stopping 26 0.07 0.16
4 TfIdf_Stopping 27 0.07 0.16
4 TfIdf_Stopping 28 0.07 0.16
4 TfIdf_Stopping 29 0.06 0.16
